service,platform,tier,source,owner,exposure,data_category,backup_owner,disposition,notes
actual-budget,k3s-argo,1,kube-stack/actual-budget/,user,NodePort 30507,stateful-vol,Velero/Kopia,retain,Personal finance / budgeting
authentik,k3s-argo,0,kube-stack/authentik/,infra,"NodePort 30900, rac-outpost",stateful-db (CNPG),Velero/Kopia,retain,SSO / identity provider
beszel-agent,k3s-argo,1,kube-stack/beszel-agent/,infra,none (internal),stateless,Velero/Kopia,retain,System monitoring agent
cloudflared,k3s-argo,0,kube-stack/cloudflared/,infra,Cloudflare Tunnel,stateless,,retain,Cloudflare Tunnel ingress
cnpg-system,k3s-argo,0,kube-stack/cnpg-system/,infra,none (operator),stateless,,retain,CloudNative PG operator
cobalt,k3s-argo,1,kube-stack/cobalt/,user,NodePort 30009,stateful-vol (MinIO),Velero/Kopia,retain,Object storage (MinIO)
couch-db,k3s-argo,1,kube-stack/couch-db/,user,none (internal),stateful-vol (CouchDB),Velero/Kopia,migrate candidate,Obsidian LiveSync
degoog,k3s-argo,2,kube-stack/degoog/,user,NodePort 30444,stateless,Velero/Kopia,retain,Google-free Android sandbox
flaresolverr,k3s-argo,1,kube-stack/flaresolverr/,infra,NodePort 30191,stateless,Velero/Kopia,retain,Cloudflare challenge solver
gatus,k3s-argo,1,kube-stack/gatus/,infra,NodePort 30386,stateless,Velero/Kopia,retain,Service health monitoring
infisical,k3s-argo,0,kube-stack/infisical/,infra,NodePort 30820,stateful-db (CNPG),Velero/Kopia,retain,Secrets management
infisical-operator,k3s-argo,0,kube-stack/infisical-operator/,infra,none (operator),stateless,,retain,K8s operator for Infisical
matrix,k3s-argo,1,kube-stack/matrix/,user,"NodePorts 30899, 30030, 30081",stateful-db (CNPG),Velero/Kopia,retain,Matrix/Synapse chat
matrix-coturn,k3s-argo,1,kube-stack/matrix-coturn/,user,none (internal),stateless,Velero/Kopia,retain,STUN/TURN for Matrix calls
matrix-livekit,k3s-argo,1,kube-stack/matrix-livekit/,user,NodePort 30070,stateless,Velero/Kopia,retain,LiveKit WebRTC
mealie,k3s-argo,1,kube-stack/mealie/,user,NodePort 30925,stateful-vol,Velero/Kopia,retain,Recipe management
netdata,k3s-argo,1,kube-stack/netdata/,infra,none (no running pods),stateless,Velero/Kopia,retain,Infrastructure monitoring
pelican,k3s-argo,1,kube-stack/pelican/,user,NodePort 30180,stateful-vol (panel),Velero/Kopia,retain,Pelican Panel (game servers)
syncthing,k3s-argo,1,kube-stack/syncthing/,user,NodePort 30384,stateful-vol,Velero/Kopia,retain,File synchronization
termix,k3s-argo,1,kube-stack/termix/,user,NodePort 30100,stateless,Velero/Kopia,retain,Web-based terminal
trawl,k3s-argo,1,kube-stack/trawl/,infra,NodePort 30192,stateful-db (Redis),Velero/Kopia,retain,Cloudflare challenge solver
vaultwarden,k3s-argo,0,kube-stack/vaultwarden/,user,NodePort 30222,stateful-vol,Velero/Kopia,retain,Bitwarden-compatible password manager
velero,k3s-argo,0,kube-stack/velero/,infra,none (internal),stateless,(is backup infra),retain,K8s backup/restore
zipline,k3s-argo,1,kube-stack/zipline/,user,NodePort 30003,stateful-db (CNPG),Velero/Kopia,retain,File/image sharing
actual-ai,docker-compose,2,~/docker-compose/actual-ai/,user,none (internal),stateless,none,migrate candidate,Actual Budget AI companion
actual-api,docker-compose,1,~/docker-compose/actual-api/,user,none (internal),stateless,Infisical,retain,"Actual Budget HTTP API bridge, managed by Infisical"
backclone,docker-compose,1,~/docker-compose/backclone/,user,Host :8080,stateful-vol,none,retain,Universal backup service
caddy,docker-compose,0,~/docker-compose/caddy/,infra,"Host :80, :443",stateless,,retain,Reverse proxy / TLS termination
glance,docker-compose,1,~/docker-compose/glance/,user,"Host :8087 (+ ext, + kuma)",stateless,none,retain,Dashboard / startpage
keeper,docker-compose,2,~/docker-compose/keeper/,dev,Host :3015,stateful-db (PG),none,retain,App with DB
komodo,docker-compose,0,~/docker-compose/komodo/komodo/,infra,Host :9120,stateful-db (Mongo),none,retain,Docker management UI
pwpush,docker-compose,1,~/docker-compose/pwpush/,user,Host :5101,stateless,none,retain,Ephemeral password sharing
searxng,docker-compose,1,~/docker-compose/searxng/,user,Host :8888,stateless,none,retain,Privacy search engine
transmission,docker-compose,1,~/docker-compose/transmission/,user,none (VPN gluetun),stateful-vol (downloads),none,retain,Torrent client
wings,docker-compose,1,~/docker-compose/wings/,user,"Host :2022, :8787",stateful-vol (server data),none,retain,Pelican Wings daemon
crows,docker-compose,2,~/crows/,dev,"Host :8020 (api), :5411 (db)",stateful-db (PG),none,retain,Crows API project
o,docker-compose,2,~/projects/o/,dev,Host :3001,stateless,none,retain,O dashboard/agent
poke-soccer,docker-compose,2,~/projects/poke-soccer/,dev,Host :1378,stateless,none,retain,Poke Soccer MCP
deploy,docker-compose,2,~/projects/hawking/deploy/,dev,"Host :1400 (broker), :8731 (nginx)",stateful-db (PG) + Redis,none,retain,Hawking deploy stack
